classe,precision,recall,f1-score,support
AM_CARTE_DI_CREDITO,0.0,0.0,0.0,0.0
AM_CONTI_CORRENTI,0.0,0.0,0.0,0.0
AM_LIVELLO_1,0.9272727272727272,0.9444444444444444,0.9357798165137615,54.0
CORE_DATA_SERVICES,0.0,0.0,0.0,0.0
DATABASE_APPLIANCE_OPS,0.9555555555555556,0.9772727272727273,0.9662921348314607,44.0
DATA_SERVICES,0.9090909090909091,0.8,0.851063829787234,25.0
ETL_OPERATIONS_TEAM,0.9605263157894737,0.9733333333333334,0.9668874172185431,75.0
MIDDLEWARE_OPERATIONS,1.0,0.9545454545454546,0.9767441860465116,22.0
OPS_SPECIALIST,1.0,1.0,1.0,11.0
